As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
31/Oct/2013,11.42,0.06,0.53
30/Oct/2013,11.36,0.05,0.44
29/Oct/2013,11.31,0.01,0.09
28/Oct/2013,11.30,-0.05,-0.44
25/Oct/2013,11.35,-0.01,-0.09
24/Oct/2013,11.36,0.03,0.26
23/Oct/2013,11.33,-0.20,-1.73
22/Oct/2013,11.53,-0.07,-0.60
21/Oct/2013,11.60,0.06,0.52
18/Oct/2013,11.54,0.16,1.41
17/Oct/2013,11.38,-0.10,-0.87
16/Oct/2013,11.48,-0.03,-0.26
15/Oct/2013,11.51,0.16,1.41
14/Oct/2013,11.35,-0.02,-0.18
11/Oct/2013,11.37,0.10,0.89
10/Oct/2013,11.27,0.14,1.26
09/Oct/2013,11.13,-0.16,-1.42
08/Oct/2013,11.29,-0.08,-0.70
07/Oct/2013,11.37,0.01,0.09
04/Oct/2013,11.36,0.05,0.44
03/Oct/2013,11.31,-0.02,-0.18
02/Oct/2013,11.33,0.00,0.00
01/Oct/2013,11.33,0.09,0.80
30/Sept/2013,11.24,-0.03,-0.27
27/Sept/2013,11.27,-0.09,-0.79
26/Sept/2013,11.36,0.06,0.53
25/Sept/2013,11.30,0.02,0.18
24/Sept/2013,11.28,-0.06,-0.53
23/Sept/2013,11.34,-0.04,-0.35
20/Sept/2013,11.38,0.02,0.18
19/Sept/2013,11.36,-0.06,-0.53
18/Sept/2013,11.42,0.05,0.44
17/Sept/2013,11.37,-0.05,-0.44
16/Sept/2013,11.42,0.01,0.09
13/Sept/2013,11.41,-0.05,-0.44
12/Sept/2013,11.46,0.04,0.35
11/Sept/2013,11.42,-0.04,-0.35
10/Sept/2013,11.46,0.13,1.15
09/Sept/2013,11.33,0.10,0.89
06/Sept/2013,11.23,-0.03,-0.27
05/Sept/2013,11.26,0.08,0.72
04/Sept/2013,11.18,0.02,0.18
03/Sept/2013,11.16,0.13,1.18
02/Sept/2013,11.03,-0.02,-0.18
30/Aug/2013,11.05,0.07,0.64
29/Aug/2013,10.98,0.15,1.39
28/Aug/2013,10.83,-0.02,-0.18
27/Aug/2013,10.85,-0.11,-1.00
26/Aug/2013,10.96,0.00,0.00
23/Aug/2013,10.96,0.03,0.27
22/Aug/2013,10.93,0.08,0.74
21/Aug/2013,10.85,0.03,0.28
20/Aug/2013,10.82,-0.13,-1.19
19/Aug/2013,10.95,0.05,0.46
16/Aug/2013,10.90,-0.24,-2.15
14/Aug/2013,11.14,0.08,0.72
13/Aug/2013,11.06,0.10,0.91
12/Aug/2013,10.96,0.09,0.83
09/Aug/2013,10.87,0.06,0.56
08/Aug/2013,10.81,0.06,0.56
07/Aug/2013,10.75,-0.21,-1.92
06/Aug/2013,10.96,-0.06,-0.54
05/Aug/2013,11.02,0.03,0.27
02/Aug/2013,10.99,0.05,0.46
01/Aug/2013,10.94,0.08,0.74
31/Jul/2013,10.86,0.03,0.28
30/Jul/2013,10.83,0.03,0.28
29/Jul/2013,10.80,0.01,0.09
26/Jul/2013,10.79,-0.06,-0.55
25/Jul/2013,10.85,0.06,0.56
24/Jul/2013,10.79,0.01,0.09
23/Jul/2013,10.78,0.13,1.22
22/Jul/2013,10.65,-0.03,-0.28
19/Jul/2013,10.68,-0.15,-1.39
18/Jul/2013,10.83,0.01,0.09
17/Jul/2013,10.82,-0.03,-0.28
16/Jul/2013,10.85,-0.05,-0.46
15/Jul/2013,10.90,-0.02,-0.18
12/Jul/2013,10.92,0.08,0.74
11/Jul/2013,10.84,0.05,0.46
10/Jul/2013,10.79,0.06,0.56
09/Jul/2013,10.73,0.07,0.66
08/Jul/2013,10.66,0.00,0.00
