As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
23-Jul-14,12.55,-0.02,-0.16
22-Jul-14,12.57,0.14,1.13
21-Jul-14,12.43,0.08,0.65
18-Jul-14,12.35,-0.02,-0.16
17-Jul-14,12.37,-0.02,-0.16
16-Jul-14,12.39,0.12,0.98
15-Jul-14,12.27,-0.02,-0.16
14-Jul-14,12.29,0.05,0.41
11-Jul-14,12.24,0.09,0.74
10-Jul-14,12.15,-0.13,-1.06
09-Jul-14,12.28,-0.06,-0.49
08-Jul-14,12.34,-0.22,-1.75
07-Jul-14,12.56,-0.04,-0.32
04-Jul-14,12.60,0.05,0.40
03-Jul-14,12.55,0.07,0.56
02-Jul-14,12.48,0.05,0.40
01-Jul-14,12.43,0.18,1.47
30-Jun-14,12.25,0.04,0.33
27-Jun-14,12.21,0.02,0.16
26-Jun-14,12.19,0.03,0.25
25-Jun-14,12.16,-0.09,-0.73
24-Jun-14,12.25,-0.02,-0.16
20-Jun-14,12.27,0.07,0.57
19-Jun-14,12.20,-0.02,-0.16
18-Jun-14,12.22,-0.01,-0.08
17-Jun-14,12.23,0.12,0.99
16-Jun-14,12.11,-0.06,-0.49
13-Jun-14,12.17,-0.01,-0.08
12-Jun-14,12.18,-0.02,-0.16
11-Jun-14,12.20,0.00,0.00
10-Jun-14,12.20,0.11,0.91
06-Jun-14,12.09,0.13,1.09
05-Jun-14,11.96,0.11,0.93
04-Jun-14,11.85,0.01,0.08
03-Jun-14,11.84,0.04,0.34
02-Jun-14,11.80,-0.04,-0.34
30-May-14,11.84,0.00,0.00
28-May-14,11.84,0.05,0.42
27-May-14,11.79,0.09,0.77
26-May-14,11.70,0.07,0.60
23-May-14,11.63,0.07,0.61
22-May-14,11.56,0.09,0.78
